name,quality,rarity,position,chemistry,nationality,league,club,BuyPrice
Ronald Araujo,Gold,Rare,Defenders,SHADOW,,,,900
,Gold,Rare,Defenders,SHADOW,,,,900
Vlahovic,Gold,Rare,,,,,,2400
Rice,Gold,Rare,,,,,,2400
Chiellini,Gold,Rare,,,,,,2400
De Paul,Gold,Rare,,,,,,2400
Casteels,Gold,Rare,,,,,,2400
Kovacic,Gold,Rare,,,,,,2400
Mount,Gold,Rare,,,,,,2400
Aubameyang,Gold,Rare,,,,,,9000
Coman,Gold,Rare,,,,,,9000
Laporte,Gold,Rare,,,,,,9000
Pedri,,,,,,,,9000
Depay,,,,,,,,9000
Reus,,,,,,,,9000
Vardy,,Out of Position,Defenders,SHADOW,,,,10500
Bellingham,,Team of the Week,,SHADOW,,,,18000
Pedri,,Team of the Week,,SHADOW,,,,18000
De Ligt,,Team of the Week,,SHADOW,,,,18000
