name,quality,rarity,position,chemistry,nationality,league,club,BuyPrice
Ronald Araujo,Gold,Rare,Defenders,SHADOW,,,,900
,Gold,Rare,Defenders,SHADOW,,,,900
,,Out of Position,Defenders,SHADOW,,,,10500
Bellingham,,Team of the Week,,SHADOW,,,,26000
Pedri,,Team of the Week,,SHADOW,,,,20000
Sane,,Team of the Week,,,,,,23000
,,Out of Position,,,,Serie A TIM (ITA 1),,32000
,,Out of Position,,,,Premier League (ENG 1),,90000
Coman,Gold,Rare,,,,,,11000
Laporte,Gold,Rare,,,,,,11000
De Ligt,,Team of the Week,,SHADOW,,,,20000
Xabi Alonso,,,,,,,,120000
Casemiro,,Team of the Week,,,,,,48000
Lautaro Martinez,,Team of the Week,,,,,,23000
Nkunku,Gold,Rare,,,,,,19000
Kounde,Gold,Rare,,,,,,16000
