name,quality,rarity,position,chemistry,nationality,league,club,BuyPrice
,,TEAM OF THE SEASON MOMENTS,,,,LaLiga Santander (ESP 1),,26000
,,Team of the Season,,,,Premier League (ENG 1),,24000
,,Team of the Season,Midfielders,,,LaLiga Santander (ESP 1),,29000
,,TEAM OF THE SEASON MOMENTS,CB,,France,Bundesliga (GER 1),,29000
,,Team of the Season,GK,,,Ligue 1 Uber Eats (FRA 1),,26000
Saeed Al Owairan,,,,,,,,17000
,,TEAM OF THE SEASON MOMENTS,Defenders,,,LaLiga Santander (ESP 1),,28000
,,TEAM OF THE SEASON MOMENTS,Defenders,,,Premier League (ENG 1),,25000
,,FUT Heroes,Defenders,,,,,14000
,,FUT Heroes,GK,,,,,13000
,,Team of the Season,,,,,,15000
,,Team of the Season,,,,,,16000
,,Team of the Season,,,,,,16000
,,Team of the Season,,,,,,16000
,,TEAM OF THE SEASON MOMENTS,,,,Premier League (ENG 1),,26000
,,World Cup Hero,,,Argentina,,,32000
,,World Cup Hero,,,Netherlands,,,32000
