name,quality,rarity,position,chemistry,nationality,league,club,BuyPrice
,Gold,Rare,,,,,,700
Leonardo Bonucci,,,,,,,,3500
Giorgio Chiellini,,,,,,,,3600
Federico Chiesa,,,,,,,,3700
Sergio Ramos,,,,,,,,3500
,,TEAM OF THE SEASON MOMENTS,,,,LaLiga Santander (ESP 1),,25000
,,Team of the Season,,,,Premier League (ENG 1),,24000
,,Team of the Season,Midfielders,,,LaLiga Santander (ESP 1),,28000
,,Team of the Season,Defenders,,,Bundesliga (GER 1),,24000
,,Team of the Season,GK,,,Ligue 1 Uber Eats (FRA 1),,28000
,,Team of the Season,,,,Ligue 1 Uber Eats (FRA 1),,20000
Saeed Al Owairan,,,,,,,,17000
,,TEAM OF THE SEASON MOMENTS,Defenders,,,LaLiga Santander (ESP 1),,29000
,,TEAM OF THE SEASON MOMENTS,Defenders,,,Premier League (ENG 1),,25000
